NAME, PRICE, UNIT_SIZE, GOOD_TYPE, UNITS_AVAILABLE
Honey,30,pint,TRADE,10
Wheat_Flour,0.05,pound,TRADE,10
Wool,0.2,pound,TRADE,10
Sun_Stone,80,single,TRADE,0
Furs,10,single,TRADE,10
Feathers,0.20,pound,TRADE,10
Antlers,1,pound,TRADE,10
Thralls,60,single,TRADE,10
Dried_Fish,0.20,barrel,TRADE,10
Fresh_Fish,0.5,barrel,TRADE,10
Ships_Biscuit,0.1,barrel,TRADE,10
Beer,1,barrel,TRADE,10
Spring_Water,0.10,barrel,TRADE,10
Water,0.01,barrel,TRADE,10
Swords,70,single,WEAPON,10
Club,0.10,single,WEAPON,10
Short-bow,25,single,WEAPON,10
Longbow,50,single,WEAPON,10
Javelins,0.50,single,WEAPON,10
Spear,1,single,WEAPON,10
Daneaxe,30,single,WEAPON,10
Seaxe,2,single,WEAPON,10
Quarterstaff,0.20,single,WEAPON,10
Handaxe,5,single,WEAPON,10
Sling,0.10,single,WEAPON,10
Halberd,90,single,WEAPON,10
Reindeer_Leather_Armor,20,single,ARMOR,10
Helmet,25,single,ARMOR,10
Maille_Hauberk,50,single,ARMOR,10
Shield,10,single,ARMOR,10
Hide_Coat,10,single,ARMOR,10

